IDX,部品.部品名称,部品.品番,データの個数 / 部品.請求金額,最小値 / 部品.請求金額,最大値 / 部品.請求金額,カテゴリ,サブカテゴリ,備考
エンジンリビルトユニットSTDNB-SAA6D107E-1-STD-1,エンジンリビルトユニットSTD,NB-SAA6D107E-1-STD-1,1,2744517,2744517,1,1,
エンジンリンク品(現物修理)NB-6015X0200,エンジンリンク品(現物修理),NB-6015X0200,1,2813000,2813000,1,1,
エンジン現品修理NB-6015Z0322,エンジン現品修理,NB-6015Z0322,1,2305484,2305484,1,1,
エンジン現品修理NB-601650166,エンジン現品修理,NB-601650166,1,2950000,2950000,1,1,
エンジン現品修理NB-R103712-01,エンジン現品修理,NB-R103712-01,1,1690000,1690000,1,1,
エンジン現品整備NB-OP006,エンジン現品整備,NB-OP006,1,2395000,2395000,1,1,
エンジン現品整備(セミOV)NB-OP017,エンジン現品整備(セミOV),NB-OP017,1,1488530,1488530,1,1,
エンジン再生品FN1ASAA6D107E-1-E/G,エンジン再生品,FN1ASAA6D107E-1-E/G,1,3490628,3490628,1,1,
ユニットエンジンNB-6016Y0180,ユニットエンジン,NB-6016Y0180,1,2362500,2362500,1,1,
リビルトエンジンNB-CA20-SAA6D107-1B,リビルトエンジン,NB-CA20-SAA6D107-1B,1,2489400,2489400,1,1,
